Plant Id,"Combined Heat And
Power Plant",Nuclear Unit Id,Plant Name,Operator Name,Operator Id,Plant State,Census Region,NERC Region,Reserved,NAICS Code,EIA Sector Number,Sector Name,"Reported
Prime Mover","Reported
Fuel Type Code","AER
Fuel Type Code","Balancing
Authority Code","Respondent
Frequency","Physical
Unit Label","Quantity
January","Quantity
February","Quantity
March","Quantity
April","Quantity
May","Quantity
June","Quantity
July","Quantity
August","Quantity
September","Quantity
October","Quantity
November","Quantity
December","Elec_Quantity
January","Elec_Quantity
February","Elec_Quantity
March","Elec_Quantity
April","Elec_Quantity
May","Elec_Quantity
June","Elec_Quantity
July","Elec_Quantity
August","Elec_Quantity
September","Elec_Quantity
October","Elec_Quantity
November","Elec_Quantity
December","MMBtuPer_Unit
January","MMBtuPer_Unit
February","MMBtuPer_Unit
March","MMBtuPer_Unit
April","MMBtuPer_Unit
May","MMBtuPer_Unit
June","MMBtuPer_Unit
July","MMBtuPer_Unit
August","MMBtuPer_Unit
September","MMBtuPer_Unit
October","MMBtuPer_Unit
November","MMBtuPer_Unit
December","Tot_MMBtu
January","Tot_MMBtu
February","Tot_MMBtu
March","Tot_MMBtu
April","Tot_MMBtu
May","Tot_MMBtu
June","Tot_MMBtu
July","Tot_MMBtu
August","Tot_MMBtu
September","Tot_MMBtu
October","Tot_MMBtu
November","Tot_MMBtu
December","Elec_MMBtu
January","Elec_MMBtu
February","Elec_MMBtu
March","Elec_MMBtu
April","Elec_MMBtu
May","Elec_MMBtu
June","Elec_MMBtu
July","Elec_MMBtu
August","Elec_MMBtu
September","Elec_MMBtu
October","Elec_MMBtu
November","Elec_MMBtu
December","Netgen
January","Netgen
February","Netgen
March","Netgen
April","Netgen
May","Netgen
June","Netgen
July","Netgen
August","Netgen
September","Netgen
October","Netgen
November","Netgen
December","Total Fuel Consumption
Quantity","Electric Fuel Consumption
Quantity","Total Fuel Consumption
MMBtu","Elec Fuel Consumption
MMBtu","Net Generation
(Megawatthours)",YEAR
944,N,.,Geneseo,City of Geneseo - (IL),7095,IL,ENC,MRO,,22,1,Electric Utility,PV,SUN,SUN,MISO,M,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584,522,1335,1450,1380,1548,1486,1618,1565,920,920,849,584,522,1335,1450,1380,1548,1486,1618,1565,920,920,849,66,59,151,164,156,175,168,183,177,104,104,96,0,0,14177,14177,1603.0,2021
944,N,.,Geneseo,City of Geneseo - (IL),7095,IL,ENC,MRO,,22,1,Electric Utility,WT,WND,WND,MISO,M,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4351,4519,7588,5457,5059,3060,1901,1928,3511,3980,6828,6288,4351,4519,7588,5457,5059,3060,1901,1928,3511,3980,6828,6288,492,511,858,617,572,346,215,218,397,450,772,711,0,0,54470,54470,6159.0,2021
1172,N,.,Osage (IA),City of Osage - (IA),14201,IA,WNC,MRO,,22,1,Electric Utility,IC,DFO,DFO,MISO,A,barrels,6,11,9,7,7,8,3,4,6,7,7,11,6,11,9,7,7,8,3,4,6,7,7,11,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,35,64,52,41,41,46,17,23,35,41,41,64,35,64,52,41,41,46,17,23,35,41,41,64,-0.396,-0.656,-0.507,-0.396,-0.389,-0.449,-0.161,-0.25,-0.348,-0.438,-0.421,-0.632,86,86,500,500,-5.043,2021
1172,N,.,Osage (IA),City of Osage - (IA),14201,IA,WNC,MRO,,22,1,Electric Utility,IC,NG,NG,MISO,A,mcf,338,131,270,280,180,661,789,700,463,543,498,538,338,131,270,280,180,661,789,700,463,543,498,538,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,372,144,297,308,198,727,868,770,509,597,548,592,372,144,297,308,198,727,868,770,509,597,548,592,-3.749,-1.458,-3.004,-3.115,-2.004,-7.357,-8.776,-7.785,-5.151,-6.034,-5.544,-5.98,5391,5391,5930,5930,-59.957,2021
1172,N,.,Osage (IA),City of Osage - (IA),14201,IA,WNC,MRO,,22,1,Electric Utility,PV,SUN,SUN,MISO,A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,531,841,862,978,1232,1152,1110,947,584,442,332,355,531,841,862,978,1232,1152,1110,947,584,442,332,40.11,59.988,95.058,97.477,110.635,139.293,130.234,125.475,107.114,66.008,50.02,37.588,0,0,9366,9366,1059.0,2021
1172,N,.,Osage (IA),City of Osage - (IA),14201,IA,WNC,MRO,,22,1,Electric Utility,WT,WND,WND,MISO,A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3213,2737,3919,3768,3388,2307,1610,2225,2798,3139,4191,3903,3213,2737,3919,3768,3388,2307,1610,2225,2798,3139,4191,3903,363.255,309.528,443.179,426.098,383.07,260.9,182.061,251.557,316.327,354.905,473.852,441.268,0,0,37198,37198,4206.0,2021
1998,N,.,Mountain Lake,City of Mountain Lake - (MN),13048,MN,WNC,MRO,,22,1,Electric Utility,IC,NG,NG,MISO,A,mcf,2,1,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,2,2,2,1,2,2,2,0.149,0.102,0.1,0.096,0.125,0.148,0.189,0.172,0.112,0.16,0.163,0.177,19,19,19,19,1.693,2021
1998,N,.,Mountain Lake,City of Mountain Lake - (MN),13048,MN,WNC,MRO,,22,1,Electric Utility,WT,WND,WND,MISO,A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1880,1491,2312,2490,2057,1594,1293,1732,1922,1960,2529,2707,1880,1491,2312,2490,2057,1594,1293,1732,1922,1960,2529,2707,212.599,168.562,261.46,281.568,232.577,180.233,146.165,195.877,217.305,221.632,285.937,306.085,0,0,23967,23967,2710.0,2021
1998,N,.,Mountain Lake,City of Mountain Lake - (MN),13048,MN,WNC,MRO,,22,1,Electric Utility,IC,DFO,DFO,MISO,A,barrels,3,4,1,9,2,8,3,2,2,5,4,6,3,4,1,9,2,8,3,2,2,5,4,6,5.796,5.796,5.796,5.796,5.796,5.796,5.796,5.796,5.796,5.796,5.796,5.796,17,23,6,52,12,46,17,12,12,29,23,35,17,23,6,52,12,46,17,12,12,29,23,35,2.186,1.903,0.629,4.451,0.994,4.203,1.317,1.2,1.062,2.36,2.005,2.997,49,49,284,284,25.307,2021
2022,N,.,Willmar,Willmar Municipal Utilities,20737,MN,WNC,MRO,,22,1,Electric Utility,WT,WND,WND,MISO,A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4046,3208,4976,5359,4427,3430,2782,3728,4136,4218,5442,5826,4046,3208,4976,5359,4427,3430,2782,3728,4136,4218,5442,5826,457.514,362.75,562.671,605.944,500.513,387.866,314.552,421.533,467.647,476.96,615.345,658.705,0,0,51578,51578,5832.0,2021
2022,N,.,Willmar,Willmar Municipal Utilities,20737,MN,WNC,MRO,,22,1,Electric Utility,ST,SUB,COL,MISO,AM,short tons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2021
2022,N,.,Willmar,Willmar Municipal Utilities,20737,MN,WNC,MRO,,22,1,Electric Utility,ST,AB,ORW,MISO,AM,short tons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2021
2022,N,.,Willmar,Willmar Municipal Utilities,20737,MN,WNC,MRO,,22,1,Electric Utility,ST,NG,NG,MISO,AM,mcf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2021
2024,N,.,Worthington,City of Worthington - (MN),21013,MN,WNC,MRO,,22,1,Electric Utility,IC,DFO,DFO,MISO,A,barrels,25,21,7,49,11,47,15,13,12,26,22,33,25,21,7,49,11,47,15,13,12,26,22,33,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,147,123,41,288,65,276,88,76,71,153,129,194,147,123,41,288,65,276,88,76,71,153,129,194,13.818,12.029,3.977,28.142,6.284,26.575,8.328,7.589,6.714,14.919,12.678,18.947,281,281,1651,1651,160.0,2021
2024,N,.,Worthington,City of Worthington - (MN),21013,MN,WNC,MRO,,22,1,Electric Utility,WT,WND,WND,MISO,A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7449,5906,9161,9865,8149,6315,5121,6863,7614,7765,10018,10724,7449,5906,9161,9865,8149,6315,5121,6863,7614,7765,10018,10724,842.23,667.778,1035.808,1115.468,921.383,714.014,579.052,775.991,860.881,878.025,1132.775,1212.595,0,0,94950,94950,10736.0,2021
2240,N,.,Lon Wright,City of Fremont - (NE),6779,NE,WNC,MRO,,22,1,Electric Utility,WT,WND,WND,SWPP,A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2021
2240,N,.,Lon Wright,City of Fremont - (NE),6779,NE,WNC,MRO,,22,1,Electric Utility,ST,SUB,COL,SWPP,AM,short tons,26672,27487,22015,12554,18779,32954,39757,38904,27014,14797,25595,26740,26672,27487,22015,12554,18779,32954,39757,38904,27014,14797,25595,26740,17.06,17.372,17.269,17.39,17.778,17.906,17.72,17.293,17.492,17.375,17.53,17.67,455024,477504,380177,218314,333853,590074,704494,672767,472529,257098,448680,472496,455024,477504,380177,218314,333853,590074,704494,672767,472529,257098,448680,472496,41428.902,42429.023,31213.67,15300.782,27980.884,49782.57,58682.587,57382.247,40185.644,19199.358,40743.93,42522.861,313268,313268,5483010,5483010,466852.46,2021
2240,N,.,Lon Wright,City of Fremont - (NE),6779,NE,WNC,MRO,,22,1,Electric Utility,ST,NG,NG,SWPP,AM,mcf,11868,16459,13353,7883,11216,18658,20225,22910,19051,12829,11547,12483,11868,16459,13353,7883,11216,18658,20225,22910,19051,12829,11547,12483,1.044,1.04,1.052,1.052,1.032,1.065,1.077,1.072,1.039,1.057,1.031,1.022,12390,17117,14047,8293,11575,19871,21782,24560,19794,13560,11905,12758,12390,17117,14047,8293,11575,19871,21782,24560,19794,13560,11905,12758,1128.098,1520.977,1153.33,581.218,970.116,1676.43,1814.413,2094.753,1683.356,1012.642,1081.07,1148.139,178482,178482,187652,187652,15864.542,2021
2240,N,.,Lon Wright,City of Fremont - (NE),6779,NE,WNC,MRO,,22,1,Electric Utility,GT,DFO,DFO,SWPP,A,barrels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2021
2240,N,.,Lon Wright,City of Fremont - (NE),6779,NE,WNC,MRO,,22,1,Electric Utility,GT,NG,NG,SWPP,A,mcf,3720,5207,2558,3640,2159,6718,7843,7167,1992,2516,4154,2517,3720,5207,2558,3640,2159,6718,7843,7167,1992,2516,4154,2517,1.069,1.069,1.069,1.069,1.069,1.069,1.069,1.069,1.069,1.069,1.069,1.069,3977,5566,2735,3891,2308,7182,8384,7662,2129,2690,4441,2691,3977,5566,2735,3891,2308,7182,8384,7662,2129,2690,4441,2691,274.187,383.781,188.503,268.263,159.092,495.143,577.982,528.181,146.775,185.395,306.167,185.531,50191,50191,53656,53656,3699.0,2021
2240,N,.,Lon Wright,City of Fremont - (NE),6779,NE,WNC,MRO,,22,1,Electric Utility,PV,SUN,SUN,SWPP,A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1447,2165,3430,3518,3992,5027,4700,4528,3865,2382,1805,1356,1447,2165,3430,3518,3992,5027,4700,4528,3865,2382,1805,1356,163.66,244.767,387.861,397.73,451.42,568.354,531.389,511.971,437.053,269.33,204.094,153.371,0,0,38215,38215,4321.0,2021
6304,N,.,Kotzebue Hybrid,Kotzebue Electric Assn Inc,10451,AK,PACN,,,22,1,Electric Utility,WT,WND,WND,,A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2029,1545,1925,1529,1806,1866,2198,2227,2282,2305,1310,2406,2029,1545,1925,1529,1806,1866,2198,2227,2282,2305,1310,2406,229.449,174.671,217.682,172.882,204.196,210.99,248.541,251.815,258.01,260.595,148.073,272.096,0,0,23428,23428,2649.0,2021
6304,N,.,Kotzebue Hybrid,Kotzebue Electric Assn Inc,10451,AK,PACN,,,22,1,Electric Utility,PV,SUN,SUN,,A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2021
6304,N,.,Kotzebue Hybrid,Kotzebue Electric Assn Inc,10451,AK,PACN,,,22,1,Electric Utility,BA,MWH,OTH,,A,megawatthours,9,8,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.566,-6.576,-7.418,-6.963,-7.201,-7.178,-7.387,-7.295,-6.933,-6.997,-6.946,-7.54,107,107,0,0,-86.0,2021
6304,N,.,Kotzebue Hybrid,Kotzebue Electric Assn Inc,10451,AK,PACN,,,22,1,Electric Utility,IC,DFO,DFO,,A,barrels,2220,2459,2660,2556,1324,1777,1737,2505,3244,3223,2517,2798,2220,2459,2660,2556,1324,1777,1737,2505,3244,3223,2517,2798,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,13054,14459,15641,15029,7785,10449,10214,14729,19075,18951,14800,16452,13054,14459,15641,15029,7785,10449,10214,14729,19075,18951,14800,16452,1238.973,1371.909,1483.729,1426.243,738.629,991.512,968.959,1397.357,1809.858,1798.133,1403.972,1560.726,29020,29020,170638,170638,16190.0,2021
10823,Y,.,Deer Island Treatment Plant,Massachusetts Wtr Rauth-Deer I,11427,MA,NEW,NPCC,,22132,5,Commercial NAICS Cogen,GT,DFO,DFO,ISNE,M,barrels,0,41,129,24,23,581,1667,305,883,30,383,75,0,11,50,8,7,185,555,98,309,9,122,26,0,5.67,5.67,5.67,5.67,5.67,5.67,5.67,5.67,5.67,5.67,5.67,0,232,731,136,130,3294,9452,1729,5007,170,2172,425,0,64,285,44,40,1048,3147,554,1750,52,690,145,0,15.68,69.58,10.78,9.8,255.78,768.32,135.24,427.28,12.74,168.56,35.28,4141,1380,23478,7819,1909.04,2021
10823,Y,.,Deer Island Treatment Plant,Massachusetts Wtr Rauth-Deer I,11427,MA,NEW,NPCC,,22132,5,Commercial NAICS Cogen,HY,WAT,HYC,ISNE,M,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2802,3441,2635,5017,5192,4658,4921,2206,5096,4842,5245,4816,2802,3441,2635,5017,5192,4658,4921,2206,5096,4842,5245,4816,316.8,389.07,297.99,567.27,587.07,526.68,556.38,249.48,576.18,547.47,593.01,544.5,0,0,50871,50871,5751.9,2021
10823,Y,.,Deer Island Treatment Plant,Massachusetts Wtr Rauth-Deer I,11427,MA,NEW,NPCC,,22132,5,Commercial NAICS Cogen,PV,SUN,SUN,ISNE,M,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,219,753,735,841,876,657,683,587,473,394,201,306,219,753,735,841,876,657,683,587,473,394,201,34.65,24.75,85.14,83.16,95.04,99,74.25,77.22,66.33,53.46,44.55,22.77,0,0,6725,6725,760.32,2021
10823,Y,.,Deer Island Treatment Plant,Massachusetts Wtr Rauth-Deer I,11427,MA,NEW,NPCC,,22132,5,Commercial NAICS Cogen,ST,DFO,DFO,ISNE,M,barrels,1248,1716,1326,51,157,779,1421,1833,760,273,758,495,125,173,136,5,17,101,215,276,80,29,83,51,5.67,5.67,5.67,5.67,5.67,5.67,5.67,5.67,5.67,5.67,5.67,5.67,7076,9730,7518,289,890,4417,8057,10393,4309,1548,4298,2807,711,983,770,29,97,573,1220,1563,452,163,471,288,171.908,237.615,186.15,7.048,23.419,138.534,294.758,377.637,109.112,39.378,113.803,69.683,10817,1291,61332,7320,1769.045,2021
10823,Y,.,Deer Island Treatment Plant,Massachusetts Wtr Rauth-Deer I,11427,MA,NEW,NPCC,,22132,5,Commercial NAICS Cogen,ST,OBG,ORW,ISNE,M,Mcf,135201,121707,139189,136400,132073,122903,127868,119239,109098,130970,129401,135274,13592,12299,14262,13757,14378,15952,19359,17929,11431,13788,14179,13898,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,82202,73998,84627,82931,80300,74725,77744,72497,66332,79630,78676,82247,8264,7478,8671,8364,8742,9699,11770,10901,6950,8383,8621,8450,1997.012,1807.145,2095.29,2021.222,2112.521,2343.696,2844.162,2634.213,1679.568,2025.752,2083.247,2042.007,1539323,174824,935909,106293,25685.835,2021
10823,Y,.,Deer Island Treatment Plant,Massachusetts Wtr Rauth-Deer I,11427,MA,NEW,NPCC,,22132,5,Commercial NAICS Cogen,WT,WND,WND,ISNE,M,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1786,718,2049,1226,1112,333,429,394,727,1024,1629,1567,1786,718,2049,1226,1112,333,429,394,727,1024,1629,1567,201.96,81.18,231.66,138.6,125.73,37.62,48.51,44.55,82.17,115.83,184.14,177.21,0,0,12994,12994,1469.16,2021
56322,N,.,Wild Horse,Puget Sound Energy Inc,15500,WA,PACC,WECC,,22,1,Electric Utility,PV,SUN,SUN,PSEI,M,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,212,283,522,539,539,504,486,425,336,186,133,115,212,283,522,539,539,504,486,425,336,186,133,13,24,32,59,61,61,57,55,48,38,21,15,0,0,4280,4280,484.0,2021
56322,N,.,Wild Horse,Puget Sound Energy Inc,15500,WA,PACC,WECC,,22,1,Electric Utility,WT,WND,WND,PSEI,M,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307789,692202,492186,654191,595546,509052,360022,558030,465230,551768,599296,529508,307789,692202,492186,654191,595546,509052,360022,558030,465230,551768,599296,529508,34802,78268,55652,73970,67339,57559,40708,63097,52604,62389,67763,59872,0,0,6314820,6314820,714023.0,2021
